Sample,X(ms) [12.08.2026 16:46:29 040 UTC],"I1[%I17.0]","I2[%I17.1]","I3[%I17.2]","I4[%I17.3]","Q1[%Q4.0]","Q2[%Q4.1]","Q3[%Q4.2]","Q4[%Q4.3]"
234741,1786553426916.783759,0,0,1,0,0,1,0,0
234742,1786553426917.793446,0,0,1,0,0,1,0,0
234743,1786553426918.800034,0,0,1,0,0,1,0,0
234744,1786553426919.809122,0,0,1,0,0,1,0,0
234745,1786553426920.817812,0,0,1,0,0,1,0,0
234746,1786553426921.837000,0,0,1,0,0,1,0,0
234747,1786553426922.845889,0,0,1,0,0,1,0,0
234748,1786553426923.850775,0,0,1,0,0,1,0,0
234749,1786553426924.874964,0,0,1,0,0,1,0,0
234750,1786553426925.895851,0,0,1,0,0,1,0,0
234751,1786553426926.886036,0,0,1,0,0,1,0,0
234752,1786553426927.892525,0,0,1,0,0,1,0,0
234753,1786553426928.899814,0,0,1,0,0,1,0,0
234754,1786553426929.919302,0,0,1,0,0,1,0,0
234755,1786553426930.921189,0,0,1,0,0,1,0,0
234756,1786553426931.927876,0,0,1,0,0,1,0,0
234757,1786553426932.935563,0,0,1,0,0,1,0,0
234758,1786553426933.943751,0,0,1,0,0,1,0,0
234759,1786553426934.964842,0,0,1,0,0,1,0,0
234760,1786553426936.029735,0,0,1,0,0,1,0,0
234761,1786553426936.996818,0,0,1,0,0,1,0,0
234762,1786553426937.995403,0,0,1,0,0,1,0,0
234763,1786553426939.043195,0,0,1,0,0,1,0,0
234764,1786553426940.049184,0,0,1,0,0,1,0,0
234765,1786553426941.021269,0,0,1,0,0,1,0,0
234766,1786553426942.025655,0,0,1,0,0,1,0,0
234767,1786553426943.032642,0,0,1,0,0,1,0,0
234768,1786553426944.042329,0,0,1,0,0,1,0,0
234769,1786553426945.051518,0,0,1,0,0,1,0,0
234770,1786553426946.066806,0,0,1,0,0,1,0,0
234771,1786553426947.070694,0,0,1,0,0,1,0,0
234772,1786553426948.075581,0,0,1,0,0,1,0,0
234773,1786553426949.084769,0,0,1,0,0,1,0,0
234774,1786553426950.091156,0,0,1,0,0,1,0,0
234775,1786553426951.099744,0,0,1,0,0,1,0,0
234776,1786553426952.106831,0,0,1,0,0,1,0,0
234777,1786553426953.117218,0,0,1,0,0,1,0,0
234778,1786553426954.138607,0,0,1,0,0,1,0,0
234779,1786553426955.165097,0,0,1,0,0,1,0,0
234780,1786553426956.163585,0,0,1,0,0,1,0,0
234781,1786553426957.157271,0,0,1,0,0,1,0,0
234782,1786553426958.166058,0,0,1,0,0,1,0,0
234783,1786553426959.171246,0,0,1,0,0,1,0,0
234784,1786553426960.181035,0,0,1,0,0,1,0,0
234785,1786553426961.200124,0,0,1,0,0,1,0,0
234786,1786553426962.240614,0,0,1,0,0,1,0,0
234787,1786553426963.233698,0,0,1,0,0,1,0,0
234788,1786553426964.227183,0,0,1,0,0,1,0,0
234789,1786553426965.231070,0,0,1,0,0,1,0,0
234790,1786553426966.239357,0,0,1,0,0,1,0,0
234791,1786553426967.246044,0,0,1,0,0,1,0,0
234792,1786553426968.254031,0,0,1,0,0,1,0,0
234793,1786553426969.272619,0,0,1,0,0,1,0,0
234794,1786553426970.289807,0,0,1,0,0,1,0,0
234795,1786553426971.289396,0,0,1,0,0,1,0,0
234796,1786553426972.295284,0,0,1,0,0,1,0,0
234797,1786553426973.304172,0,0,1,0,0,1,0,0
234798,1786553426974.312360,0,0,1,0,0,1,0,0
234799,1786553426975.319049,0,0,1,0,0,1,0,0
234800,1786553426976.327136,0,0,1,0,0,1,0,0
234801,1786553426977.334623,0,0,1,0,0,1,0,0
234802,1786553426978.345810,0,0,1,0,0,1,0,0
234803,1786553426979.352097,0,0,1,0,0,1,0,0
234804,1786553426980.361285,0,0,1,0,0,1,0,0
234805,1786553426981.369074,0,0,1,0,0,1,0,0
234806,1786553426982.378362,0,0,1,0,0,1,0,0
234807,1786553426983.386349,0,0,1,0,0,1,0,0
234808,1786553426984.394437,0,0,1,0,0,1,0,0
234809,1786553426985.619846,0,0,1,0,0,1,0,0
234810,1786553426986.510524,0,0,1,0,0,1,0,0
234811,1786553426987.492510,0,0,1,0,0,1,0,0
234812,1786553426988.499798,0,0,1,0,0,1,0,0
234813,1786553426989.507586,0,0,1,0,0,1,0,0
234814,1786553426990.529074,0,0,1,0,0,1,0,0
234815,1786553426991.522861,0,0,1,0,0,1,0,0
234816,1786553426992.531647,0,0,1,0,0,1,0,0
234817,1786553426993.538836,0,0,1,0,0,1,0,0
234818,1786553426994.554624,0,0,1,0,0,1,0,0
234819,1786553426995.556910,0,0,1,0,0,1,0,0
234820,1786553426996.568298,0,0,1,0,0,1,0,0
234821,1786553426997.575284,0,0,1,0,0,1,0,0
234822,1786553426998.582471,0,0,1,0,0,1,0,0
234823,1786553426999.591159,0,0,1,0,0,1,0,0
234824,1786553427000.612647,0,0,1,0,0,1,0,0
234825,1786553427001.611733,0,0,1,0,0,1,0,0
234826,1786553427002.618523,0,0,1,0,0,1,0,0
234827,1786553427003.630111,0,0,1,0,0,1,0,0
234828,1786553427004.637599,0,0,1,0,0,1,0,0
234829,1786553427005.648086,0,0,1,0,0,1,0,0
234830,1786553427006.654674,0,0,1,0,0,1,0,0
234831,1786553427007.667162,0,0,1,0,0,1,0,0
234832,1786553427008.673351,0,0,1,0,0,1,0,0
234833,1786553427009.684939,0,0,1,0,0,1,0,0
